IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
43.129.171.137,443,443,true,HKG,Asia Pacific,HK,Hong Kong,72,37.92
103.135.248.76,13065,443,true,HKG,Asia Pacific,HK,Hong Kong,65,29.19
157.254.32.54,44444,443,true,HKG,Asia Pacific,HK,Hong Kong,75,23.95
103.148.72.147,1443,443,true,HKG,Asia Pacific,HK,Hong Kong,63,21.40
149.104.25.27,12208,2082,false,HKG,Asia Pacific,HK,Hong Kong,110,9.85
123.254.104.133,30809,80,false,HKG,Asia Pacific,HK,Hong Kong,72,9.21
150.109.122.100,8443,443,true,HKG,Asia Pacific,HK,Hong Kong,62,8.19
202.81.237.150,9999,443,true,HKG,Asia Pacific,HK,Hong Kong,241,5.64
154.12.61.66,35002,443,true,HKG,Asia Pacific,HK,Hong Kong,62,5.41
47.83.18.47,443,443,true,HKG,Asia Pacific,HK,Hong Kong,61,4.19
47.242.91.144,443,443,true,HKG,Asia Pacific,HK,Hong Kong,60,3.94
123.202.145.26,443,443,true,HKG,Asia Pacific,HK,Hong Kong,75,3.51
154.88.25.179,28985,443,true,HKG,Asia Pacific,HK,Hong Kong,85,3.36
47.76.62.62,8443,443,true,HKG,Asia Pacific,HK,Hong Kong,67,3.35
206.237.24.232,36485,443,true,HKG,Asia Pacific,HK,Hong Kong,72,3.12
141.11.91.177,40110,443,true,HKG,Asia Pacific,HK,Hong Kong,333,2.99
58.176.95.46,443,443,true,HKG,Asia Pacific,HK,Hong Kong,90,2.70
141.11.79.224,65250,443,true,HKG,Asia Pacific,HK,Hong Kong,318,2.48
202.81.230.107,54573,443,true,HKG,Asia Pacific,HK,Hong Kong,96,2.09
141.11.77.125,59217,443,true,HKG,Asia Pacific,HK,Hong Kong,321,1.64
5.180.98.146,22827,443,true,HKG,Asia Pacific,HK,Hong Kong,68,1.02
206.237.18.140,36485,443,true,HKG,Asia Pacific,HK,Hong Kong,75,0.91
154.12.60.53,4445,443,true,HKG,Asia Pacific,HK,Hong Kong,64,0.87
46.3.104.240,4445,443,true,HKG,Asia Pacific,HK,Hong Kong,76,0.77
47.242.72.208,443,443,true,HKG,Asia Pacific,HK,Hong Kong,69,0.70
103.44.255.81,443,443,true,HKG,Asia Pacific,HK,Hong Kong,51,0.61
47.76.64.199,8880,443,true,HKG,Asia Pacific,HK,Hong Kong,64,0.58
38.207.143.44,13343,443,true,HKG,Asia Pacific,HK,Hong Kong,274,0.53
202.181.27.218,14526,443,true,HKG,Asia Pacific,HK,Hong Kong,199,0.48
102.215.231.106,8080,443,true,HKG,Asia Pacific,HK,Hong Kong,242,0.43
178.253.32.30,52126,443,true,HKG,Asia Pacific,HK,Hong Kong,329,0.32
47.76.68.32,443,443,true,HKG,Asia Pacific,HK,Hong Kong,58,0.21
206.237.0.221,35690,443,true,HKG,Asia Pacific,HK,Hong Kong,250,0.15
165.154.43.92,35181,443,true,HKG,Asia Pacific,HK,Hong Kong,110,0.12
165.154.43.92,35187,443,true,HKG,Asia Pacific,HK,Hong Kong,108,0.11
178.253.32.28,2024,443,true,HKG,Asia Pacific,HK,Hong Kong,335,0.10
123.58.212.234,443,443,true,HKG,Asia Pacific,HK,Hong Kong,106,0.09
172.93.188.157,443,443,true,SIN,Asia Pacific,SG,Singapore,199,0.06
172.93.165.228,443,443,true,HKG,Asia Pacific,HK,Hong Kong,188,0.02
206.237.0.218,24409,443,true,HKG,Asia Pacific,HK,Hong Kong,231,0.01
141.11.78.134,8443,443,true,HKG,Asia Pacific,HK,Hong Kong,363,0.00
