IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
172.207.131.37,443,443,true,NRT,Asia Pacific,JP,Tokyo,111,14.28
8.140.56.136,80,80,false,NRT,Asia Pacific,JP,Tokyo,29,6.88
60.205.0.210,80,80,false,NRT,Asia Pacific,JP,Tokyo,29,6.80
156.251.179.27,50048,443,true,NRT,Asia Pacific,JP,Tokyo,76,3.18
103.20.223.16,50048,443,true,NRT,Asia Pacific,JP,Tokyo,79,1.62
172.93.220.153,12345,80,false,NRT,Asia Pacific,JP,Tokyo,142,1.41
43.206.192.211,443,443,true,NRT,Asia Pacific,JP,Tokyo,78,0.68
185.200.64.87,20111,443,true,NRT,Asia Pacific,JP,Tokyo,155,0.66
116.206.92.153,443,443,true,NRT,Asia Pacific,JP,Tokyo,84,0.01
116.206.92.153,8562,80,false,NRT,Asia Pacific,JP,Tokyo,86,0.01
116.206.92.237,8562,80,false,NRT,Asia Pacific,JP,Tokyo,74,0.01
