IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
185.218.7.199,2024,443,true,SJC,North America,US,San Jose,200,27.29
38.59.244.4,12111,443,true,SJC,North America,US,San Jose,163,26.70
38.59.241.252,27856,443,true,SJC,North America,US,San Jose,162,25.55
38.59.242.169,27738,443,true,SJC,North America,US,San Jose,169,23.34
37.123.192.228,20211,443,true,SJC,North America,US,San Jose,195,21.59
43.153.80.208,443,443,true,SJC,North America,US,San Jose,180,20.19
43.153.103.203,443,443,true,SJC,North America,US,San Jose,170,18.80
136.175.179.104,587,443,true,SJC,North America,US,San Jose,165,18.19
65.75.194.7,12266,443,true,SJC,North America,US,San Jose,167,16.96
13.56.58.118,2053,443,true,SJC,North America,US,San Jose,180,11.13
107.172.103.195,16092,443,true,SJC,North America,US,San Jose,173,10.99
107.172.103.195,16007,443,true,SJC,North America,US,San Jose,178,10.99
107.172.103.195,16062,443,true,SJC,North America,US,San Jose,180,10.77
107.172.103.195,16077,443,true,SJC,North America,US,San Jose,179,10.62
67.226.221.149,443,443,true,SJC,North America,US,San Jose,171,10.60
107.172.103.195,16056,443,true,SJC,North America,US,San Jose,178,10.53
107.172.103.195,16085,443,true,SJC,North America,US,San Jose,181,10.52
107.172.103.195,16025,443,true,SJC,North America,US,San Jose,180,10.43
107.172.103.195,16008,443,true,SJC,North America,US,San Jose,180,10.41
107.172.103.195,16064,443,true,SJC,North America,US,San Jose,180,10.36
204.110.220.57,80,443,true,SJC,North America,US,San Jose,180,10.35
67.226.221.110,80,443,true,SJC,North America,US,San Jose,172,10.26
13.87.188.67,443,443,true,SJC,North America,US,San Jose,180,10.16
107.172.103.195,16047,443,true,SJC,North America,US,San Jose,181,10.13
107.172.103.195,16088,443,true,SJC,North America,US,San Jose,181,10.12
67.226.221.117,443,443,true,SJC,North America,US,San Jose,195,9.95
67.226.221.182,80,443,true,SJC,North America,US,San Jose,171,9.95
204.110.220.85,80,443,true,SJC,North America,US,San Jose,171,9.94
67.226.221.251,80,443,true,SJC,North America,US,San Jose,196,9.94
67.226.221.117,80,443,true,SJC,North America,US,San Jose,173,9.88
204.110.220.38,80,443,true,SJC,North America,US,San Jose,187,9.84
107.172.103.195,16009,443,true,SJC,North America,US,San Jose,175,9.83
107.172.103.195,16079,443,true,SJC,North America,US,San Jose,181,9.80
204.110.220.241,80,443,true,SJC,North America,US,San Jose,181,9.80
67.226.221.104,443,443,true,SJC,North America,US,San Jose,191,9.77
67.226.221.14,80,443,true,SJC,North America,US,San Jose,168,9.71
13.56.139.126,80,443,true,SJC,North America,US,San Jose,173,9.64
204.110.220.153,80,443,true,SJC,North America,US,San Jose,179,9.60
67.226.221.155,80,443,true,SJC,North America,US,San Jose,200,9.59
204.110.220.105,80,443,true,SJC,North America,US,San Jose,168,9.24
23.95.67.107,2053,8443,true,SJC,North America,US,San Jose,180,9.22
67.226.221.204,80,443,true,SJC,North America,US,San Jose,183,9.07
54.193.104.34,80,443,true,SJC,North America,US,San Jose,190,9.00
3.101.133.120,80,443,true,SJC,North America,US,San Jose,175,8.86
54.193.48.13,443,443,true,SJC,North America,US,San Jose,206,8.80
67.226.221.123,80,443,true,SJC,North America,US,San Jose,190,8.73
67.226.221.180,80,443,true,SJC,North America,US,San Jose,167,8.69
54.151.9.4,80,443,true,SJC,North America,US,San Jose,180,8.63
204.110.220.128,80,443,true,SJC,North America,US,San Jose,175,8.49
107.172.103.195,16097,443,true,SJC,North America,US,San Jose,174,8.49
107.172.103.195,16019,443,true,SJC,North America,US,San Jose,183,8.35
107.172.103.195,16059,443,true,SJC,North America,US,San Jose,177,8.25
54.176.205.20,80,443,true,SJC,North America,US,San Jose,165,8.20
107.172.103.195,16090,443,true,SJC,North America,US,San Jose,178,8.06
204.110.220.197,80,443,true,SJC,North America,US,San Jose,189,7.93
37.123.193.178,52050,443,true,SJC,North America,US,San Jose,199,7.87
172.82.16.99,443,443,true,SJC,North America,US,San Jose,191,7.85
107.172.103.195,16020,443,true,SJC,North America,US,San Jose,181,7.66
107.172.103.195,16037,443,true,SJC,North America,US,San Jose,176,7.44
67.226.221.243,80,443,true,SJC,North America,US,San Jose,202,7.17
107.172.103.195,16068,443,true,SJC,North America,US,San Jose,176,6.93
107.172.103.195,16023,443,true,SJC,North America,US,San Jose,181,6.65
107.172.103.195,16033,443,true,SJC,North America,US,San Jose,179,6.54
4.242.220.94,8080,443,true,SJC,North America,US,San Jose,232,6.33
107.172.103.195,16083,443,true,SJC,North America,US,San Jose,190,6.01
207.2.120.16,443,443,true,SJC,North America,US,San Jose,200,6.00
67.226.221.155,443,443,true,SJC,North America,US,San Jose,179,5.94
207.2.120.15,443,443,true,SJC,North America,US,San Jose,190,5.90
67.226.221.152,80,443,true,SJC,North America,US,San Jose,173,5.59
107.172.103.195,16028,443,true,SJC,North America,US,San Jose,182,5.55
107.172.103.195,16057,443,true,SJC,North America,US,San Jose,183,5.41
107.172.103.195,16030,443,true,SJC,North America,US,San Jose,190,5.20
204.110.220.14,80,443,true,SJC,North America,US,San Jose,179,5.13
23.94.25.245,15182,443,true,SJC,North America,US,San Jose,170,5.03
107.172.103.195,16050,443,true,SJC,North America,US,San Jose,189,4.98
107.172.103.195,16060,443,true,SJC,North America,US,San Jose,180,4.88
45.159.208.139,443,443,true,SJC,North America,US,San Jose,181,4.68
107.172.103.195,16046,443,true,SJC,North America,US,San Jose,180,4.58
67.226.221.104,80,443,true,SJC,North America,US,San Jose,195,4.57
67.226.221.116,80,443,true,SJC,North America,US,San Jose,170,4.53
13.56.251.164,80,443,true,SJC,North America,US,San Jose,172,4.14
192.9.140.43,443,443,true,SJC,North America,US,San Jose,197,4.10
204.110.220.210,80,443,true,SJC,North America,US,San Jose,182,3.91
107.172.103.195,16089,443,true,SJC,North America,US,San Jose,176,3.90
107.172.103.195,16095,443,true,SJC,North America,US,San Jose,176,3.08
67.226.221.183,80,443,true,SJC,North America,US,San Jose,182,3.02
107.172.103.195,16017,443,true,SJC,North America,US,San Jose,182,2.94
107.172.103.195,16026,443,true,SJC,North America,US,San Jose,190,2.32
54.219.214.194,80,443,true,SJC,North America,US,San Jose,204,2.05
54.153.85.10,80,443,true,SJC,North America,US,San Jose,171,1.72
107.172.103.195,16091,443,true,SJC,North America,US,San Jose,180,1.70
54.177.87.111,80,443,true,SJC,North America,US,San Jose,181,1.52
107.172.103.195,16043,443,true,SJC,North America,US,San Jose,174,1.45
67.226.221.44,443,443,true,SJC,North America,US,San Jose,179,1.38
107.172.103.195,16049,443,true,SJC,North America,US,San Jose,175,1.24
107.172.103.195,16045,443,true,SJC,North America,US,San Jose,179,1.11
107.172.103.195,16029,443,true,SJC,North America,US,San Jose,181,0.81
107.172.103.195,16080,443,true,SJC,North America,US,San Jose,180,0.77
47.77.6.195,443,443,true,SJC,North America,US,San Jose,221,0.63
65.75.194.66,51246,443,true,SJC,North America,US,San Jose,186,0.47
174.136.207.24,47025,443,true,SJC,North America,US,San Jose,186,0.46
65.75.194.43,10511,443,true,SJC,North America,US,San Jose,181,0.44
107.172.103.195,16076,443,true,SJC,North America,US,San Jose,184,0.37
45.59.187.105,26443,443,true,SJC,North America,US,San Jose,186,0.37
45.59.184.16,38908,443,true,SJC,North America,US,San Jose,192,0.36
8.213.134.177,443,443,true,SJC,North America,US,San Jose,68,0.35
8.213.135.201,443,443,true,SJC,North America,US,San Jose,67,0.35
64.181.240.173,443,443,true,SJC,North America,US,San Jose,191,0.35
198.23.254.51,443,443,true,SJC,North America,US,San Jose,180,0.35
47.57.245.232,443,443,true,SJC,North America,US,San Jose,63,0.35
107.172.86.122,20561,443,true,SJC,North America,US,San Jose,190,0.34
104.168.43.27,37190,443,true,SJC,North America,US,San Jose,181,0.31
45.59.187.24,13284,443,true,SJC,North America,US,San Jose,185,0.31
8.223.65.98,443,443,true,SJC,North America,US,San Jose,65,0.30
107.175.44.118,58621,443,true,SJC,North America,US,San Jose,180,0.27
146.235.232.152,443,443,true,SJC,North America,US,San Jose,203,0.27
47.254.42.167,443,443,true,SJC,North America,US,San Jose,180,0.26
107.172.103.195,16036,443,true,SJC,North America,US,San Jose,173,0.25
107.173.111.72,1443,443,true,SJC,North America,US,San Jose,189,0.24
204.110.220.129,80,443,true,SJC,North America,US,San Jose,191,0.20
107.172.103.195,16082,443,true,SJC,North America,US,San Jose,184,0.19
47.253.104.12,443,443,true,SJC,North America,US,San Jose,240,0.18
67.226.221.245,80,443,true,SJC,North America,US,San Jose,185,0.13
184.169.181.217,443,443,true,SJC,North America,US,San Jose,191,0.12
67.226.221.144,80,443,true,SJC,North America,US,San Jose,193,0.09
67.226.221.23,80,443,true,SJC,North America,US,San Jose,182,0.08
67.226.221.71,80,443,true,SJC,North America,US,San Jose,190,0.06
107.172.103.195,16002,443,true,SJC,North America,US,San Jose,190,0.05
204.110.220.145,80,443,true,SJC,North America,US,San Jose,190,0.05
204.110.220.171,80,443,true,SJC,North America,US,San Jose,172,0.05
173.249.207.151,443,443,true,SJC,North America,US,San Jose,200,0.03
204.110.220.207,80,443,true,SJC,North America,US,San Jose,191,0.02
23.94.255.35,51382,443,true,SJC,North America,US,San Jose,195,0.01
104.168.102.121,2053,443,true,SJC,North America,US,San Jose,185,0.01
23.94.25.168,443,443,true,SJC,North America,US,San Jose,189,0.00
